filename	language	family	reference_ipa
indoeuropean_isl_001.wav	Icelandic	Indo-European	b iː ð
indoeuropean_isl_002.wav	Icelandic	Indo-European	b ɪː ð
indoeuropean_isl_003.wav	Icelandic	Indo-European	b ɛː ð
indoeuropean_isl_004.wav	Icelandic	Indo-European	b œː ð
indoeuropean_isl_005.wav	Icelandic	Indo-European	b aː ð
indoeuropean_isl_006.wav	Icelandic	Indo-European	b uː ð
indoeuropean_isl_007.wav	Icelandic	Indo-European	b ɔː ð
indoeuropean_isl_008.wav	Icelandic	Indo-European	b aː r̥
indoeuropean_isl_009.wav	Icelandic	Indo-European	b ɛː r̥
indoeuropean_isl_010.wav	Icelandic	Indo-European	b ɪː r̥
indoeuropean_isl_011.wav	Icelandic	Indo-European	b iː r̥
indoeuropean_isl_012.wav	Icelandic	Indo-European	b ʏː r̥
indoeuropean_isl_013.wav	Icelandic	Indo-European	b ɔː r̥
indoeuropean_isl_014.wav	Icelandic	Indo-European	b uː r̥
indoeuropean_isl_015.wav	Icelandic	Indo-European	b o uː r̥
indoeuropean_isl_016.wav	Icelandic	Indo-European	b a iː r̥
indoeuropean_isl_017.wav	Icelandic	Indo-European	b e iː ð
indoeuropean_isl_018.wav	Icelandic	Indo-European	b œ yː ð
indoeuropean_isl_019.wav	Icelandic	Indo-European	b a iː ð ɪ r̥
indoeuropean_isl_020.wav	Icelandic	Indo-European	b a uː ð ɪ r̥
indoeuropean_isl_021.wav	Icelandic	Indo-European	l ɪ iː j ɪ
indoeuropean_isl_022.wav	Icelandic	Indo-European	l ɪː ɣ a
indoeuropean_isl_023.wav	Icelandic	Indo-European	l ɔ iː j ɪ
indoeuropean_isl_024.wav	Icelandic	Indo-European	l ɔː ɣ a
indoeuropean_isl_025.wav	Icelandic	Indo-European	h ʏ iː j ɪ
indoeuropean_isl_026.wav	Icelandic	Indo-European	h ʏː ɣ a
indoeuropean_isl_027.wav	Icelandic	Indo-European	h j ɛː r̥
indoeuropean_isl_028.wav	Icelandic	Indo-European	h ɛː r̥
indoeuropean_isl_029.wav	Icelandic	Indo-European	aː n a
indoeuropean_isl_030.wav	Icelandic	Indo-European	a nː a
indoeuropean_isl_031.wav	Icelandic	Indo-European	ɛː r̥
indoeuropean_isl_032.wav	Icelandic	Indo-European	ɛ r̥ː
indoeuropean_isl_033.wav	Icelandic	Indo-European	ɪː s
indoeuropean_isl_034.wav	Icelandic	Indo-European	ɪ sː
indoeuropean_isl_035.wav	Icelandic	Indo-European	l iː t
indoeuropean_isl_036.wav	Icelandic	Indo-European	l i t
indoeuropean_isl_037.wav	Icelandic	Indo-European	f œː n
indoeuropean_isl_038.wav	Icelandic	Indo-European	f œ nː
indoeuropean_isl_039.wav	Icelandic	Indo-European	ɡ r ʏː n a
indoeuropean_isl_040.wav	Icelandic	Indo-European	ɡ r ʏ nː a
indoeuropean_pes_001.wav	Farsi, Western	Indo-European	p i ʃ
indoeuropean_pes_002.wav	Farsi, Western	Indo-European	b i ʃ
indoeuropean_pes_003.wav	Farsi, Western	Indo-European	tʰ æ r̥
indoeuropean_pes_004.wav	Farsi, Western	Indo-European	d æ r̥
indoeuropean_pes_005.wav	Farsi, Western	Indo-European	k u r̥
indoeuropean_pes_006.wav	Farsi, Western	Indo-European	ɢ u r̥
indoeuropean_pes_007.wav	Farsi, Western	Indo-European	ɢ a r̥
indoeuropean_pes_008.wav	Farsi, Western	Indo-European	d͡ʒ æ ŋ ɢʲ
indoeuropean_pes_009.wav	Farsi, Western	Indo-European	s æ f a
indoeuropean_pes_010.wav	Farsi, Western	Indo-European	s æ r̥
indoeuropean_pes_011.wav	Farsi, Western	Indo-European	z æ r̥
indoeuropean_pes_012.wav	Farsi, Western	Indo-European	ʒ æ r f
indoeuropean_pes_013.wav	Farsi, Western	Indo-European	h a l
indoeuropean_pes_014.wav	Farsi, Western	Indo-European	m u
indoeuropean_pes_015.wav	Farsi, Western	Indo-European	n o w
indoeuropean_pes_016.wav	Farsi, Western	Indo-European	χ a l
indoeuropean_pes_017.wav	Farsi, Western	Indo-European	χ a r̥
indoeuropean_pes_018.wav	Farsi, Western	Indo-European	o w d͡ʒ
indoeuropean_pes_019.wav	Farsi, Western	Indo-European	χ o y
indoeuropean_pes_020.wav	Farsi, Western	Indo-European	b i ʃ
indoeuropean_pes_021.wav	Farsi, Western	Indo-European	tʰ æ r̥
indoeuropean_pes_022.wav	Farsi, Western	Indo-European	k u r̥
indoeuropean_pes_023.wav	Farsi, Western	Indo-European	ɢ u r̥
indoeuropean_pes_024.wav	Farsi, Western	Indo-European	ɢ a r̥
indoeuropean_pes_025.wav	Farsi, Western	Indo-European	t͡ʃ æ ŋ ɢʲ
indoeuropean_pes_026.wav	Farsi, Western	Indo-European	d͡ʒ æ ŋ ɢʲ
indoeuropean_pes_027.wav	Farsi, Western	Indo-European	s æ f a
indoeuropean_pes_028.wav	Farsi, Western	Indo-European	s æ v a
indoeuropean_pes_029.wav	Farsi, Western	Indo-European	s æ r̥
indoeuropean_pes_030.wav	Farsi, Western	Indo-European	z æ r̥
indoeuropean_pes_031.wav	Farsi, Western	Indo-European	ʃ æ b
indoeuropean_pes_032.wav	Farsi, Western	Indo-European	ʒ æ r f
indoeuropean_pes_033.wav	Farsi, Western	Indo-European	χ a r̥
indoeuropean_pes_034.wav	Farsi, Western	Indo-European	h a l
indoeuropean_pes_035.wav	Farsi, Western	Indo-European	m u
indoeuropean_pes_036.wav	Farsi, Western	Indo-European	χ a l
indoeuropean_pes_037.wav	Farsi, Western	Indo-European	χ a r̥
indoeuropean_pes_038.wav	Farsi, Western	Indo-European	o w d͡ʒ
indoeuropean_pes_039.wav	Farsi, Western	Indo-European	χ o y
indoeuropean_pes_040.wav	Farsi, Western	Indo-European	s i r̥
atlanticcongo_lug_001.wav	Ganda	Atlantic-Congo	k u l i m a
atlanticcongo_lug_002.wav	Ganda	Atlantic-Congo	k u l iː m a
atlanticcongo_lug_003.wav	Ganda	Atlantic-Congo	k u w e r a
atlanticcongo_lug_004.wav	Ganda	Atlantic-Congo	k u w eː r a
atlanticcongo_lug_005.wav	Ganda	Atlantic-Congo	k u w a β a
atlanticcongo_lug_006.wav	Ganda	Atlantic-Congo	k u w aː β a
atlanticcongo_lug_007.wav	Ganda	Atlantic-Congo	k u w o l a
atlanticcongo_lug_008.wav	Ganda	Atlantic-Congo	k u w oː l a
atlanticcongo_lug_009.wav	Ganda	Atlantic-Congo	k u t u l a
atlanticcongo_lug_010.wav	Ganda	Atlantic-Congo	k u t uː l a
atlanticcongo_lug_011.wav	Ganda	Atlantic-Congo	k u p i p i r a
atlanticcongo_lug_012.wav	Ganda	Atlantic-Congo	k u β i β i r a
atlanticcongo_lug_013.wav	Ganda	Atlantic-Congo	k u β a
atlanticcongo_lug_014.wav	Ganda	Atlantic-Congo	k u bː a
atlanticcongo_lug_015.wav	Ganda	Atlantic-Congo	kː a p a
atlanticcongo_lug_016.wav	Ganda	Atlantic-Congo	pː a t a
atlanticcongo_lug_017.wav	Ganda	Atlantic-Congo	k u tː a
atlanticcongo_lug_018.wav	Ganda	Atlantic-Congo	k u dː a
atlanticcongo_lug_019.wav	Ganda	Atlantic-Congo	k u t a
atlanticcongo_lug_020.wav	Ganda	Atlantic-Congo	o β u d e
atlanticcongo_lug_021.wav	Ganda	Atlantic-Congo	o β u dː e
atlanticcongo_lug_022.wav	Ganda	Atlantic-Congo	m u k a z i
atlanticcongo_lug_023.wav	Ganda	Atlantic-Congo	m u ɡ a z i
atlanticcongo_lug_024.wav	Ganda	Atlantic-Congo	m j a k a
atlanticcongo_lug_025.wav	Ganda	Atlantic-Congo	kː a z i
atlanticcongo_lug_026.wav	Ganda	Atlantic-Congo	k u ɡ u l a
atlanticcongo_lug_027.wav	Ganda	Atlantic-Congo	k u ɡː u ɾ a
atlanticcongo_lug_028.wav	Ganda	Atlantic-Congo	β o nː a
atlanticcongo_lug_029.wav	Ganda	Atlantic-Congo	b o ɡː o
atlanticcongo_lug_030.wav	Ganda	Atlantic-Congo	k u f a
atlanticcongo_lug_031.wav	Ganda	Atlantic-Congo	k u v a
atlanticcongo_lug_032.wav	Ganda	Atlantic-Congo	k i f u m u
atlanticcongo_lug_033.wav	Ganda	Atlantic-Congo	fː u m u
atlanticcongo_lug_034.wav	Ganda	Atlantic-Congo	k i v u
atlanticcongo_lug_035.wav	Ganda	Atlantic-Congo	vː u
