filename	language	family	reference_ipa
indoeuropean_isl_001.wav	Icelandic	Indo-European	b iː ð
indoeuropean_isl_002.wav	Icelandic	Indo-European	b ɪː ð
indoeuropean_isl_003.wav	Icelandic	Indo-European	b ɛː ð
indoeuropean_isl_004.wav	Icelandic	Indo-European	b œː ð
indoeuropean_isl_005.wav	Icelandic	Indo-European	b aː ð
indoeuropean_isl_006.wav	Icelandic	Indo-European	b uː ð
indoeuropean_isl_007.wav	Icelandic	Indo-European	b ɔː ð
indoeuropean_isl_008.wav	Icelandic	Indo-European	b aː r̥
indoeuropean_isl_009.wav	Icelandic	Indo-European	b ɛː r̥
indoeuropean_isl_010.wav	Icelandic	Indo-European	b ɪː r̥
indoeuropean_pes_001.wav	Farsi, Western	Indo-European	p i ʃ
indoeuropean_pes_002.wav	Farsi, Western	Indo-European	b i ʃ
indoeuropean_pes_003.wav	Farsi, Western	Indo-European	tʰ æ r̥
indoeuropean_pes_004.wav	Farsi, Western	Indo-European	d æ r̥
indoeuropean_pes_005.wav	Farsi, Western	Indo-European	k u r̥
indoeuropean_pes_006.wav	Farsi, Western	Indo-European	ɢ u r̥
indoeuropean_pes_007.wav	Farsi, Western	Indo-European	ɢ a r̥
indoeuropean_pes_008.wav	Farsi, Western	Indo-European	d͡ʒ æ ŋ ɢʲ
indoeuropean_pes_009.wav	Farsi, Western	Indo-European	s æ f a
indoeuropean_pes_010.wav	Farsi, Western	Indo-European	s æ r̥
atlanticcongo_lug_001.wav	Ganda	Atlantic-Congo	k u l i m a
atlanticcongo_lug_002.wav	Ganda	Atlantic-Congo	k u l iː m a
atlanticcongo_lug_003.wav	Ganda	Atlantic-Congo	k u w e r a
atlanticcongo_lug_004.wav	Ganda	Atlantic-Congo	k u w eː r a
atlanticcongo_lug_005.wav	Ganda	Atlantic-Congo	k u w a β a
atlanticcongo_lug_006.wav	Ganda	Atlantic-Congo	k u w aː β a
atlanticcongo_lug_007.wav	Ganda	Atlantic-Congo	k u w o l a
atlanticcongo_lug_008.wav	Ganda	Atlantic-Congo	k u w oː l a
atlanticcongo_lug_009.wav	Ganda	Atlantic-Congo	k u t u l a
atlanticcongo_lug_010.wav	Ganda	Atlantic-Congo	k u t uː l a
atlanticcongo_cpn_001.wav	Cherepon	Atlantic-Congo	ɛ b ɪ
atlanticcongo_cpn_002.wav	Cherepon	Atlantic-Congo	a b ɪ
atlanticcongo_cpn_003.wav	Cherepon	Atlantic-Congo	a b a a
atlanticcongo_cpn_004.wav	Cherepon	Atlantic-Congo	a d ɛ
atlanticcongo_cpn_005.wav	Cherepon	Atlantic-Congo	a d ɔ
atlanticcongo_cpn_006.wav	Cherepon	Atlantic-Congo	ɔ d e
atlanticcongo_cpn_007.wav	Cherepon	Atlantic-Congo	i d i
atlanticcongo_cpn_008.wav	Cherepon	Atlantic-Congo	ɔ f a
atlanticcongo_cpn_009.wav	Cherepon	Atlantic-Congo	e f e r i
atlanticcongo_cpn_010.wav	Cherepon	Atlantic-Congo	e f ũ
sinotibetan_yue_001.wav	Chinese, Cantonese	Sino-Tibetan	tʰ ɪ m
sinotibetan_yue_002.wav	Chinese, Cantonese	Sino-Tibetan	tʰ ɪː n
sinotibetan_yue_003.wav	Chinese, Cantonese	Sino-Tibetan	t͡ʃ i p
sinotibetan_yue_004.wav	Chinese, Cantonese	Sino-Tibetan	t͡ʃ i
sinotibetan_yue_005.wav	Chinese, Cantonese	Sino-Tibetan	t͡ʃʰ i
sinotibetan_yue_006.wav	Chinese, Cantonese	Sino-Tibetan	j i
sinotibetan_yue_007.wav	Chinese, Cantonese	Sino-Tibetan	t͡ʃ i t
sinotibetan_yue_008.wav	Chinese, Cantonese	Sino-Tibetan	s ɪ ŋ
sinotibetan_yue_009.wav	Chinese, Cantonese	Sino-Tibetan	j i t
sinotibetan_yue_010.wav	Chinese, Cantonese	Sino-Tibetan	s ɪ k
sinotibetan_mya_001.wav	Burmese	Sino-Tibetan	ð w ɔ a
sinotibetan_mya_002.wav	Burmese	Sino-Tibetan	t͡ʃʰ i
sinotibetan_mya_003.wav	Burmese	Sino-Tibetan	l u
sinotibetan_mya_004.wav	Burmese	Sino-Tibetan	p e i
sinotibetan_mya_005.wav	Burmese	Sino-Tibetan	l̥ ɛ
sinotibetan_mya_006.wav	Burmese	Sino-Tibetan	p j o
sinotibetan_mya_007.wav	Burmese	Sino-Tibetan	p o ʊ
sinotibetan_mya_008.wav	Burmese	Sino-Tibetan	o ʊ̃ ŋ
sinotibetan_mya_009.wav	Burmese	Sino-Tibetan	ə pʰ i j a
sinotibetan_mya_010.wav	Burmese	Sino-Tibetan	kʰ ã m j a
afroasiatic_apc_001.wav	Arabic, North Levantine Spoken	Afro-Asiatic	b æː b
afroasiatic_apc_002.wav	Arabic, North Levantine Spoken	Afro-Asiatic	t̪ iː n
afroasiatic_apc_003.wav	Arabic, North Levantine Spoken	Afro-Asiatic	t iː ɯ n
afroasiatic_apc_004.wav	Arabic, North Levantine Spoken	Afro-Asiatic	d̪ a r b
afroasiatic_apc_005.wav	Arabic, North Levantine Spoken	Afro-Asiatic	k a l b
afroasiatic_apc_006.wav	Arabic, North Levantine Spoken	Afro-Asiatic	ʔ a l b
afroasiatic_apc_007.wav	Arabic, North Levantine Spoken	Afro-Asiatic	ʌ m a r
afroasiatic_apc_008.wav	Arabic, North Levantine Spoken	Afro-Asiatic	s æ b ə b
afroasiatic_apc_009.wav	Arabic, North Levantine Spoken	Afro-Asiatic	s ɛ bː ə b
afroasiatic_apc_010.wav	Arabic, North Levantine Spoken	Afro-Asiatic	r æ t̪ ɪ b
afroasiatic_mlt_001.wav	Maltese	Afro-Asiatic	b a ŋ k
afroasiatic_mlt_002.wav	Maltese	Afro-Asiatic	v aː v a
afroasiatic_mlt_003.wav	Maltese	Afro-Asiatic	v aː v i
afroasiatic_mlt_004.wav	Maltese	Afro-Asiatic	s a f a r
afroasiatic_mlt_005.wav	Maltese	Afro-Asiatic	ʃ a l̪ p a
afroasiatic_mlt_006.wav	Maltese	Afro-Asiatic	ʒ b i n t̪
afroasiatic_mlt_007.wav	Maltese	Afro-Asiatic	ʒ d iː d iː
afroasiatic_mlt_008.wav	Maltese	Afro-Asiatic	ħ a l̪ ʔ
afroasiatic_mlt_009.wav	Maltese	Afro-Asiatic	ħ a m b a ʔ
afroasiatic_mlt_010.wav	Maltese	Afro-Asiatic	ħ a pː
austronesian_ilo_001.wav	Ilocano	Austronesian	pʰ i k o
austronesian_ilo_002.wav	Ilocano	Austronesian	l ɑ pʰ i t
austronesian_ilo_003.wav	Ilocano	Austronesian	n ɛ p n ɛ p
austronesian_ilo_004.wav	Ilocano	Austronesian	b i k o
austronesian_ilo_005.wav	Ilocano	Austronesian	l ɑ b i t
austronesian_ilo_006.wav	Ilocano	Austronesian	n ɛ b n ɛ b
austronesian_ilo_007.wav	Ilocano	Austronesian	t ɑ ɡ ɑ
austronesian_ilo_008.wav	Ilocano	Austronesian	s ɑ l tʰ ɑ
austronesian_ilo_009.wav	Ilocano	Austronesian	s ɑ ɡ ɑ t
austronesian_ilo_010.wav	Ilocano	Austronesian	d ɑ ɡ ɑ
austronesian_pam_001.wav	Kapampangan	Austronesian	pʰ a h
austronesian_pam_002.wav	Kapampangan	Austronesian	b a h
austronesian_pam_003.wav	Kapampangan	Austronesian	m a t a ʔ
austronesian_pam_004.wav	Kapampangan	Austronesian	t a b a l u ʔ
austronesian_pam_005.wav	Kapampangan	Austronesian	d a̝
austronesian_pam_006.wav	Kapampangan	Austronesian	s a b o
austronesian_pam_007.wav	Kapampangan	Austronesian	n a ʔ
austronesian_pam_008.wav	Kapampangan	Austronesian	l a b a ʔ a ʔ
austronesian_pam_009.wav	Kapampangan	Austronesian	r a
austronesian_pam_010.wav	Kapampangan	Austronesian	t͡ʃ a ʔ
dravidian_kan_001.wav	Kannada	Dravidian	k i ɖ i
dravidian_kan_002.wav	Kannada	Dravidian	k iː t̪ a
dravidian_kan_003.wav	Kannada	Dravidian	k u ɖ i
dravidian_kan_004.wav	Kannada	Dravidian	k uː ɖ i
dravidian_kan_005.wav	Kannada	Dravidian	k e ɾ u
dravidian_kan_006.wav	Kannada	Dravidian	k eː ɾ u
dravidian_kan_007.wav	Kannada	Dravidian	k ʌ ɽ u
dravidian_kan_008.wav	Kannada	Dravidian	k aː ɾ u
dravidian_kan_009.wav	Kannada	Dravidian	k ə ɯ ɾ u
