model	family	n	mean_PER	mean_PFER	mean_PER_folded	mean_PFER_folded
allophant	Afro-Asiatic	20	0.7175	0.2540	0.5392	0.2477
allophant	Atlantic-Congo	20	0.7050	0.2422	0.5050	0.2380
allophant	Austronesian	20	0.5792	0.1754	0.2931	0.1655
allophant	Dravidian	20	0.6825	0.2168	0.5325	0.2078
allophant	Indo-European	20	0.7417	0.1575	0.4458	0.1263
allophant	Nakh-Daghestanian	20	0.8119	0.3116	0.4932	0.2923
allophant	Sino-Tibetan	20	0.7700	0.2227	0.5217	0.2175
allophant	Uralic	20	0.6458	0.1555	0.3742	0.1172
allosaurus	Afro-Asiatic	20	0.9767	0.3482	0.8258	0.3397
allosaurus	Atlantic-Congo	20	0.9917	0.3769	0.9333	0.3955
allosaurus	Austronesian	20	0.7861	0.2061	0.6973	0.2374
allosaurus	Dravidian	20	0.9717	0.3162	0.8467	0.3506
allosaurus	Indo-European	20	0.9125	0.2454	0.7292	0.2435
allosaurus	Nakh-Daghestanian	20	0.9661	0.3512	0.9019	0.3243
allosaurus	Sino-Tibetan	20	0.7650	0.2273	0.7133	0.2172
allosaurus	Uralic	20	0.9950	0.3855	0.9483	0.4063
multipa	Afro-Asiatic	20	0.5300	0.1707	0.4192	0.1645
multipa	Atlantic-Congo	20	0.4867	0.0791	0.3825	0.0731
multipa	Austronesian	20	0.5354	0.1220	0.3601	0.1100
multipa	Dravidian	20	0.5058	0.1240	0.3267	0.1071
multipa	Indo-European	20	0.8750	0.1495	0.7917	0.1315
multipa	Nakh-Daghestanian	20	0.7437	0.2319	0.6277	0.2380
multipa	Sino-Tibetan	20	0.6783	0.1743	0.5558	0.1919
multipa	Uralic	20	0.3967	0.0992	0.3500	0.1128
powsm	Afro-Asiatic	20	0.5567	0.1501	0.4025	0.1601
powsm	Atlantic-Congo	20	0.4483	0.1485	0.4067	0.1452
powsm	Austronesian	20	0.4320	0.1161	0.3514	0.1082
powsm	Dravidian	20	0.4767	0.1072	0.3683	0.0976
powsm	Indo-European	20	0.8000	0.1858	0.6167	0.1743
powsm	Nakh-Daghestanian	20	0.6756	0.1938	0.6114	0.1869
powsm	Sino-Tibetan	20	0.4542	0.1070	0.4025	0.1142
powsm	Uralic	20	0.2883	0.0956	0.2083	0.0912
wav2vec2phoneme	Afro-Asiatic	20	0.5150	0.1625	0.3650	0.1546
wav2vec2phoneme	Atlantic-Congo	20	0.3392	0.1318	0.2975	0.1294
wav2vec2phoneme	Austronesian	20	0.3594	0.1144	0.2864	0.1090
wav2vec2phoneme	Dravidian	20	0.5000	0.1445	0.3708	0.1313
wav2vec2phoneme	Indo-European	20	0.7125	0.1912	0.4833	0.1684
wav2vec2phoneme	Nakh-Daghestanian	20	0.6240	0.2171	0.4527	0.2041
wav2vec2phoneme	Sino-Tibetan	20	0.7242	0.2043	0.5242	0.1544
wav2vec2phoneme	Uralic	20	0.4633	0.2163	0.3192	0.1816
whipa	Afro-Asiatic	20	0.6625	0.2112	0.5192	0.2122
whipa	Atlantic-Congo	20	0.8400	0.2015	0.5900	0.1963
whipa	Austronesian	20	0.5100	0.1312	0.3794	0.1202
whipa	Dravidian	20	0.6867	0.1733	0.4783	0.1606
whipa	Indo-European	20	0.9375	0.2398	0.8792	0.2261
whipa	Nakh-Daghestanian	20	0.9319	0.3254	0.8067	0.3326
whipa	Sino-Tibetan	20	0.8283	0.2115	0.6333	0.2042
whipa	Uralic	20	1.3017	0.7196	1.2283	0.6923
whipa_comb	Afro-Asiatic	20	0.7075	0.2144	0.4492	0.2078
whipa_comb	Atlantic-Congo	20	0.7675	0.1553	0.4308	0.1361
whipa_comb	Austronesian	20	0.6794	0.2011	0.4868	0.1858
whipa_comb	Dravidian	20	0.7550	0.2187	0.4892	0.1875
whipa_comb	Indo-European	20	1.0125	0.2535	0.7667	0.2396
whipa_comb	Nakh-Daghestanian	20	1.0099	0.3370	0.7150	0.2941
whipa_comb	Sino-Tibetan	20	0.8383	0.1888	0.5642	0.1520
whipa_comb	Uralic	20	0.8800	0.2325	0.7200	0.2175
zipa	Afro-Asiatic	20	0.5917	0.1529	0.4150	0.1460
zipa	Atlantic-Congo	20	0.4992	0.1884	0.3742	0.1842
zipa	Austronesian	20	0.5512	0.1326	0.4119	0.1268
zipa	Dravidian	20	0.6850	0.1338	0.5017	0.1217
zipa	Indo-European	20	0.9958	0.0982	0.6292	0.0712
zipa	Nakh-Daghestanian	20	0.7815	0.2364	0.6907	0.2156
zipa	Sino-Tibetan	20	0.7767	0.2893	0.6333	0.2031
zipa	Uralic	20	0.5367	0.1251	0.5067	0.0938
zipa_large	Afro-Asiatic	20	0.6000	0.1462	0.4033	0.1389
zipa_large	Atlantic-Congo	20	0.5067	0.1989	0.4025	0.1946
zipa_large	Austronesian	20	0.5399	0.1109	0.3906	0.1057
zipa_large	Dravidian	20	0.7975	0.1850	0.5475	0.1723
zipa_large	Indo-European	20	0.8625	0.0933	0.5958	0.0671
zipa_large	Nakh-Daghestanian	20	0.8369	0.3081	0.7556	0.2902
zipa_large	Sino-Tibetan	20	0.7850	0.2503	0.6150	0.1631
zipa_large	Uralic	20	0.5450	0.1024	0.5050	0.0696
