filename	language	family	model	PER	PFER	PER_folded	PFER_folded
indoeuropean_isl_001	Icelandic	Indo-European	allophant	0.6667	0.3333	0.6667	0.3333
indoeuropean_isl_001	Icelandic	Indo-European	allosaurus	0.6667	0.0139	0.0000	0.0000
indoeuropean_isl_001	Icelandic	Indo-European	multipa	1.0000	0.0417	0.6667	0.0278
indoeuropean_isl_001	Icelandic	Indo-European	powsm	1.0000	0.3333	1.0000	0.3333
indoeuropean_isl_001	Icelandic	Indo-European	wav2vec2phoneme	0.3333	0.0139	0.3333	0.0139
indoeuropean_isl_001	Icelandic	Indo-European	whipa	0.6667	0.0417	0.3333	0.0278
indoeuropean_isl_001	Icelandic	Indo-European	whipa_comb	0.6667	0.0694	0.6667	0.0556
indoeuropean_isl_001	Icelandic	Indo-European	zipa	1.3333	0.3819	1.0000	0.3681
indoeuropean_isl_001	Icelandic	Indo-European	zipa_large	0.6667	0.0278	0.3333	0.0139
indoeuropean_isl_002	Icelandic	Indo-European	allophant	0.6667	0.3958	0.6667	0.3819
indoeuropean_isl_002	Icelandic	Indo-European	allosaurus	1.0000	0.0694	0.6667	0.0417
indoeuropean_isl_002	Icelandic	Indo-European	multipa	1.0000	0.0556	1.0000	0.0556
indoeuropean_isl_002	Icelandic	Indo-European	powsm	1.0000	0.3333	1.0000	0.3333
indoeuropean_isl_002	Icelandic	Indo-European	wav2vec2phoneme	0.6667	0.3403	0.6667	0.3403
indoeuropean_isl_002	Icelandic	Indo-European	whipa	0.6667	0.0833	0.6667	0.0694
indoeuropean_isl_002	Icelandic	Indo-European	whipa_comb	1.6667	0.9931	1.3333	0.9653
indoeuropean_isl_002	Icelandic	Indo-European	zipa	1.0000	0.0972	1.0000	0.0833
indoeuropean_isl_002	Icelandic	Indo-European	zipa_large	0.6667	0.0833	0.6667	0.0694
indoeuropean_isl_003	Icelandic	Indo-European	allophant	1.0000	0.0972	1.0000	0.0694
indoeuropean_isl_003	Icelandic	Indo-European	allosaurus	1.0000	0.0833	0.6667	0.0556
indoeuropean_isl_003	Icelandic	Indo-European	multipa	1.0000	0.0833	1.0000	0.0694
indoeuropean_isl_003	Icelandic	Indo-European	powsm	0.6667	0.0556	0.6667	0.0556
indoeuropean_isl_003	Icelandic	Indo-European	wav2vec2phoneme	0.6667	0.0556	0.6667	0.0556
indoeuropean_isl_003	Icelandic	Indo-European	whipa	0.6667	0.0556	0.3333	0.0417
indoeuropean_isl_003	Icelandic	Indo-European	whipa_comb	1.0000	0.0556	0.6667	0.0278
indoeuropean_isl_003	Icelandic	Indo-European	zipa	1.0000	0.0833	1.0000	0.0694
indoeuropean_isl_003	Icelandic	Indo-European	zipa_large	0.6667	0.0694	0.6667	0.0556
indoeuropean_isl_004	Icelandic	Indo-European	allophant	0.6667	0.0694	0.6667	0.0556
indoeuropean_isl_004	Icelandic	Indo-European	allosaurus	1.0000	0.1389	1.0000	0.1250
indoeuropean_isl_004	Icelandic	Indo-European	multipa	1.0000	0.0694	1.0000	0.0556
indoeuropean_isl_004	Icelandic	Indo-European	powsm	1.0000	0.3472	1.0000	0.3333
indoeuropean_isl_004	Icelandic	Indo-European	wav2vec2phoneme	0.3333	0.3056	0.3333	0.3056
indoeuropean_isl_004	Icelandic	Indo-European	whipa	1.0000	0.0972	1.0000	0.0833
indoeuropean_isl_004	Icelandic	Indo-European	whipa_comb	1.0000	0.0833	1.0000	0.0556
indoeuropean_isl_004	Icelandic	Indo-European	zipa	1.0000	0.1319	1.0000	0.1181
indoeuropean_isl_004	Icelandic	Indo-European	zipa_large	0.6667	0.0694	0.6667	0.0556
indoeuropean_isl_005	Icelandic	Indo-European	allophant	0.3333	0.0139	0.0000	0.0000
indoeuropean_isl_005	Icelandic	Indo-European	allosaurus	1.0000	0.1042	1.0000	0.1042
indoeuropean_isl_005	Icelandic	Indo-European	multipa	0.6667	0.0625	0.6667	0.0625
indoeuropean_isl_005	Icelandic	Indo-European	powsm	0.6667	0.0625	0.6667	0.0625
indoeuropean_isl_005	Icelandic	Indo-European	wav2vec2phoneme	0.3333	0.0139	0.0000	0.0000
indoeuropean_isl_005	Icelandic	Indo-European	whipa	0.6667	0.0694	0.6667	0.0556
indoeuropean_isl_005	Icelandic	Indo-European	whipa_comb	0.6667	0.0694	0.6667	0.0556
indoeuropean_isl_005	Icelandic	Indo-European	zipa	1.3333	0.0556	0.6667	0.0556
indoeuropean_isl_005	Icelandic	Indo-European	zipa_large	1.0000	0.0694	0.6667	0.0556
