filename	language	family	model	PER	PFER	PER_folded	PFER_folded
fleurs_spa_001	Spanish	Indo-European	allophant	0.3285	0.1332	0.2774	0.1311
fleurs_spa_001	Spanish	Indo-European	allosaurus	0.4307	0.1385	0.3577	0.1358
fleurs_spa_001	Spanish	Indo-European	multipa	0.4088	0.1217	0.3942	0.1204
fleurs_spa_001	Spanish	Indo-European	powsm	0.1022	0.0198	0.1022	0.0198
fleurs_spa_001	Spanish	Indo-European	wav2vec2phoneme	0.1606	0.0354	0.1606	0.0354
fleurs_spa_001	Spanish	Indo-European	whipa	0.4380	0.0969	0.2993	0.0902
fleurs_spa_001	Spanish	Indo-European	whipa_comb	0.5109	0.1154	0.3796	0.1099
fleurs_spa_001	Spanish	Indo-European	whipa_large	0.3723	0.0554	0.3577	0.0554
fleurs_spa_001	Spanish	Indo-European	zipa	0.3285	0.0341	0.3285	0.0341
fleurs_spa_001	Spanish	Indo-European	zipa_large	0.3431	0.0473	0.3431	0.0473
fleurs_spa_002	Spanish	Indo-European	allophant	0.4008	0.1732	0.3239	0.1707
fleurs_spa_002	Spanish	Indo-European	allosaurus	0.4899	0.1752	0.3927	0.1724
fleurs_spa_002	Spanish	Indo-European	multipa	0.3198	0.1317	0.3077	0.1317
fleurs_spa_002	Spanish	Indo-European	powsm	0.1053	0.0346	0.1053	0.0346
fleurs_spa_002	Spanish	Indo-European	wav2vec2phoneme	0.1741	0.0763	0.1741	0.0763
fleurs_spa_002	Spanish	Indo-European	whipa	0.9879	0.0449	0.9879	0.0449
fleurs_spa_002	Spanish	Indo-European	whipa_comb	0.5142	0.1351	0.3441	0.1307
fleurs_spa_002	Spanish	Indo-European	whipa_large	0.3198	0.0787	0.3036	0.0747
fleurs_spa_002	Spanish	Indo-European	zipa	0.0931	0.0690	0.0931	0.0690
fleurs_spa_002	Spanish	Indo-European	zipa_large	0.2874	0.0754	0.2874	0.0754
fleurs_spa_003	Spanish	Indo-European	allophant	0.3222	0.1079	0.2444	0.1046
fleurs_spa_003	Spanish	Indo-European	allosaurus	0.3111	0.1118	0.2889	0.1090
fleurs_spa_003	Spanish	Indo-European	multipa	0.2778	0.1035	0.2444	0.1021
fleurs_spa_003	Spanish	Indo-European	powsm	0.0667	0.0056	0.0667	0.0056
fleurs_spa_003	Spanish	Indo-European	wav2vec2phoneme	0.1333	0.0426	0.1333	0.0426
fleurs_spa_003	Spanish	Indo-European	whipa	1.0000	0.0618	1.0000	0.0618
fleurs_spa_003	Spanish	Indo-European	whipa_comb	0.4222	0.0924	0.2556	0.0840
fleurs_spa_003	Spanish	Indo-European	whipa_large	0.1778	0.0505	0.1667	0.0500
fleurs_spa_003	Spanish	Indo-European	zipa	0.2333	0.0079	0.2333	0.0079
fleurs_spa_003	Spanish	Indo-European	zipa_large	0.2333	0.0079	0.2333	0.0079
fleurs_spa_004	Spanish	Indo-European	allophant	0.4219	0.1562	0.3281	0.1523
fleurs_spa_004	Spanish	Indo-European	allosaurus	0.3594	0.0436	0.2812	0.0540
fleurs_spa_004	Spanish	Indo-European	multipa	0.5312	0.0986	0.4531	0.0986
fleurs_spa_004	Spanish	Indo-European	powsm	0.0781	0.0065	0.0781	0.0065
fleurs_spa_004	Spanish	Indo-European	wav2vec2phoneme	0.2344	0.0410	0.2344	0.0410
fleurs_spa_004	Spanish	Indo-European	whipa	1.0000	0.0703	1.0000	0.0703
fleurs_spa_004	Spanish	Indo-European	whipa_comb	0.5625	0.0814	0.3594	0.0729
fleurs_spa_004	Spanish	Indo-European	whipa_large	0.3125	0.0654	0.3125	0.0654
fleurs_spa_004	Spanish	Indo-European	zipa	0.3438	0.0130	0.3438	0.0130
fleurs_spa_004	Spanish	Indo-European	zipa_large	0.3438	0.0130	0.3438	0.0130
fleurs_spa_005	Spanish	Indo-European	allophant	0.3182	0.1423	0.2500	0.1394
fleurs_spa_005	Spanish	Indo-European	allosaurus	0.3636	0.1170	0.3068	0.1143
fleurs_spa_005	Spanish	Indo-European	multipa	0.3295	0.0997	0.2614	0.0947
fleurs_spa_005	Spanish	Indo-European	powsm	0.0682	0.0168	0.0682	0.0168
fleurs_spa_005	Spanish	Indo-European	wav2vec2phoneme	0.1705	0.0315	0.1705	0.0315
fleurs_spa_005	Spanish	Indo-European	whipa	0.3864	0.1508	0.3068	0.1475
fleurs_spa_005	Spanish	Indo-European	whipa_comb	0.2727	0.0552	0.1591	0.0495
fleurs_spa_005	Spanish	Indo-European	whipa_large	0.2841	0.0227	0.2727	0.0320
fleurs_spa_005	Spanish	Indo-European	zipa	0.2386	0.0178	0.2386	0.0178
fleurs_spa_005	Spanish	Indo-European	zipa_large	0.2727	0.0492	0.2727	0.0492
fleurs_spa_006	Spanish	Indo-European	allophant	0.3162	0.1068	0.2650	0.1047
fleurs_spa_006	Spanish	Indo-European	allosaurus	0.4188	0.1236	0.3504	0.1202
fleurs_spa_006	Spanish	Indo-European	multipa	0.5983	0.1364	0.4615	0.1309
fleurs_spa_006	Spanish	Indo-European	powsm	0.0855	0.0288	0.0855	0.0288
fleurs_spa_006	Spanish	Indo-European	wav2vec2phoneme	0.1624	0.0422	0.1624	0.0422
fleurs_spa_006	Spanish	Indo-European	whipa	1.0000	0.0363	1.0000	0.0363
fleurs_spa_006	Spanish	Indo-European	whipa_comb	0.5983	0.1175	0.5043	0.1084
fleurs_spa_006	Spanish	Indo-European	whipa_large	0.3932	0.0730	0.3761	0.0730
fleurs_spa_006	Spanish	Indo-European	zipa	0.2308	0.0175	0.2308	0.0175
fleurs_spa_006	Spanish	Indo-European	zipa_large	0.2479	0.0333	0.2479	0.0333
fleurs_spa_007	Spanish	Indo-European	allophant	0.3585	0.1765	0.3019	0.1528
fleurs_spa_007	Spanish	Indo-European	allosaurus	0.3019	0.0955	0.2264	0.0710
fleurs_spa_007	Spanish	Indo-European	multipa	0.3585	0.1105	0.3585	0.1069
fleurs_spa_007	Spanish	Indo-European	powsm	0.0755	0.0208	0.0755	0.0015
fleurs_spa_007	Spanish	Indo-European	wav2vec2phoneme	0.1321	0.0763	0.1132	0.0559
fleurs_spa_007	Spanish	Indo-European	whipa	0.5849	0.1580	0.5472	0.1520
fleurs_spa_007	Spanish	Indo-European	whipa_comb	0.5094	0.0802	0.4528	0.0837
fleurs_spa_007	Spanish	Indo-European	whipa_large	0.3774	0.0369	0.3585	0.0166
fleurs_spa_007	Spanish	Indo-European	zipa	0.3019	0.0464	0.3019	0.0266
fleurs_spa_007	Spanish	Indo-European	zipa_large	0.2830	0.0287	0.2830	0.0093
fleurs_spa_008	Spanish	Indo-European	allophant	0.4149	0.1997	0.3511	0.1966
fleurs_spa_008	Spanish	Indo-European	allosaurus	0.3404	0.0977	0.2553	0.0964
fleurs_spa_008	Spanish	Indo-European	multipa	0.2979	0.1079	0.2660	0.1070
fleurs_spa_008	Spanish	Indo-European	powsm	0.0745	0.0106	0.0745	0.0106
fleurs_spa_008	Spanish	Indo-European	wav2vec2phoneme	0.1596	0.0390	0.1596	0.0390
fleurs_spa_008	Spanish	Indo-European	whipa	0.4787	0.0969	0.2979	0.0875
fleurs_spa_008	Spanish	Indo-European	whipa_comb	0.4149	0.0913	0.3191	0.0842
fleurs_spa_008	Spanish	Indo-European	whipa_large	0.3723	0.0754	0.3511	0.0745
fleurs_spa_008	Spanish	Indo-European	zipa	0.2447	0.0173	0.2447	0.0173
fleurs_spa_008	Spanish	Indo-European	zipa_large	0.2766	0.0465	0.2766	0.0465
fleurs_spa_009	Spanish	Indo-European	allophant	0.3393	0.1990	0.2768	0.1961
fleurs_spa_009	Spanish	Indo-European	allosaurus	0.3661	0.1127	0.2679	0.1094
fleurs_spa_009	Spanish	Indo-European	multipa	0.3482	0.0755	0.3214	0.0835
fleurs_spa_009	Spanish	Indo-European	powsm	0.0625	0.0054	0.0625	0.0054
fleurs_spa_009	Spanish	Indo-European	wav2vec2phoneme	0.1250	0.0311	0.1250	0.0311
fleurs_spa_009	Spanish	Indo-European	whipa	1.0000	0.0253	1.0000	0.0253
fleurs_spa_009	Spanish	Indo-European	whipa_comb	0.5000	0.1122	0.3929	0.1110
fleurs_spa_009	Spanish	Indo-European	whipa_large	0.3125	0.0378	0.1786	0.0301
fleurs_spa_009	Spanish	Indo-European	zipa	0.2232	0.0089	0.2232	0.0089
fleurs_spa_009	Spanish	Indo-European	zipa_large	0.2232	0.0089	0.2232	0.0089
