model	family	n	mean_PER	mean_PFER	mean_PER_folded	mean_PFER_folded
allophant	Atlantic-Congo	20	0.3992	0.2010	0.3757	0.1954
allophant	Austronesian	20	0.5621	0.1661	0.4838	0.1612
allophant	Indo-European	40	0.4811	0.1492	0.4343	0.1384
allophant	Turkic	20	0.5316	0.1210	0.4874	0.1179
allophant	Uralic	20	0.5283	0.2178	0.4804	0.2160
allosaurus	Atlantic-Congo	20	0.6797	0.2143	0.6104	0.2211
allosaurus	Austronesian	20	0.6286	0.1831	0.5809	0.1834
allosaurus	Indo-European	40	0.5470	0.1618	0.4663	0.1525
allosaurus	Turkic	20	0.6878	0.1834	0.6080	0.1857
allosaurus	Uralic	20	0.7631	0.2293	0.6980	0.2326
multipa	Atlantic-Congo	20	0.4011	0.1297	0.3593	0.1337
multipa	Austronesian	20	0.4717	0.1189	0.4128	0.1210
multipa	Indo-European	40	0.5020	0.1494	0.4278	0.1455
multipa	Turkic	20	0.5018	0.1333	0.4762	0.1351
multipa	Uralic	20	0.4698	0.1394	0.3912	0.1362
powsm	Atlantic-Congo	20	0.1317	0.0611	0.1317	0.0568
powsm	Austronesian	20	0.1376	0.0597	0.1371	0.0611
powsm	Indo-European	40	0.2680	0.0703	0.2449	0.0618
powsm	Turkic	20	0.3434	0.0527	0.3158	0.0535
powsm	Uralic	20	0.2718	0.1757	0.2627	0.1754
wav2vec2phoneme	Atlantic-Congo	20	0.2863	0.1282	0.2783	0.1253
wav2vec2phoneme	Austronesian	20	0.3197	0.1057	0.3192	0.1083
wav2vec2phoneme	Indo-European	40	0.3211	0.0852	0.2885	0.0753
wav2vec2phoneme	Turkic	20	0.5012	0.1128	0.4657	0.1150
wav2vec2phoneme	Uralic	20	0.4629	0.1314	0.4345	0.1294
whipa	Atlantic-Congo	20	0.5537	0.1885	0.4166	0.1866
whipa	Austronesian	20	0.5618	0.1563	0.4759	0.1546
whipa	Indo-European	40	0.8054	0.2520	0.7213	0.2513
whipa	Turkic	20	0.5294	0.1374	0.4551	0.1344
whipa	Uralic	20	0.5158	0.1484	0.4434	0.1449
whipa_comb	Atlantic-Congo	20	0.5637	0.1516	0.3743	0.1467
whipa_comb	Austronesian	20	0.5041	0.1173	0.3970	0.1102
whipa_comb	Indo-European	40	0.6049	0.1599	0.4733	0.1519
whipa_comb	Turkic	20	0.6275	0.1420	0.5350	0.1340
whipa_comb	Uralic	20	0.4093	0.1445	0.3023	0.1392
whipa_large	Atlantic-Congo	20	0.3252	0.1076	0.3160	0.1112
whipa_large	Austronesian	20	0.4095	0.1512	0.3997	0.1511
whipa_large	Indo-European	40	0.4666	0.1117	0.3919	0.1084
whipa_large	Turkic	20	0.4462	0.1110	0.4470	0.1084
whipa_large	Uralic	20	0.2044	0.0843	0.1320	0.0816
zipa	Atlantic-Congo	20	0.1661	0.0795	0.1661	0.0738
zipa	Austronesian	20	0.1817	0.0559	0.1520	0.0479
zipa	Indo-European	40	0.4287	0.0687	0.3166	0.0581
zipa	Turkic	20	0.2072	0.0595	0.1952	0.0493
zipa	Uralic	20	0.5361	0.1311	0.5149	0.1303
zipa_large	Atlantic-Congo	20	0.1502	0.0716	0.1502	0.0653
zipa_large	Austronesian	20	0.2065	0.0584	0.1642	0.0483
zipa_large	Indo-European	40	0.4335	0.0655	0.3211	0.0553
zipa_large	Turkic	20	0.1744	0.0586	0.1606	0.0472
zipa_large	Uralic	20	0.4905	0.1353	0.4415	0.1333
