filename	language	family	model	PER	PFER	PER_folded	PFER_folded
abkhazadyge_abk_001	Abkhaz	Abkhaz-Adyge	allophant	0.6667	0.1111	0.6667	0.3073
abkhazadyge_abk_001	Abkhaz	Abkhaz-Adyge	allosaurus	1.0000	0.6944	1.0000	0.3490
abkhazadyge_abk_001	Abkhaz	Abkhaz-Adyge	multipa	0.6667	0.3889	0.6667	0.4948
abkhazadyge_abk_001	Abkhaz	Abkhaz-Adyge	powsm	0.6667	0.0833	0.6667	0.2344
abkhazadyge_abk_001	Abkhaz	Abkhaz-Adyge	wav2vec2phoneme	0.6667	0.0833	0.3333	0.2344
abkhazadyge_abk_001	Abkhaz	Abkhaz-Adyge	whipa	0.6667	0.1458	0.6667	0.1198
abkhazadyge_abk_001	Abkhaz	Abkhaz-Adyge	whipa_comb	1.3333	0.6944	1.3333	0.3594
abkhazadyge_abk_001	Abkhaz	Abkhaz-Adyge	zipa	0.6667	0.0833	0.6667	0.2344
abkhazadyge_abk_001	Abkhaz	Abkhaz-Adyge	zipa_large	0.6667	0.0833	0.6667	0.2344
abkhazadyge_abk_002	Abkhaz	Abkhaz-Adyge	allophant	0.7500	0.2656	0.0000	0.0000
abkhazadyge_abk_002	Abkhaz	Abkhaz-Adyge	allosaurus	0.7500	0.4740	0.7500	0.3792
abkhazadyge_abk_002	Abkhaz	Abkhaz-Adyge	multipa	0.5000	0.2708	1.0000	0.2167
abkhazadyge_abk_002	Abkhaz	Abkhaz-Adyge	powsm	0.5000	0.2292	0.5000	0.1833
abkhazadyge_abk_002	Abkhaz	Abkhaz-Adyge	wav2vec2phoneme	0.7500	0.4948	0.5000	0.1917
abkhazadyge_abk_002	Abkhaz	Abkhaz-Adyge	whipa	0.7500	0.2708	1.0000	0.2000
abkhazadyge_abk_002	Abkhaz	Abkhaz-Adyge	whipa_comb	1.0000	0.5208	1.0000	0.2542
abkhazadyge_abk_002	Abkhaz	Abkhaz-Adyge	zipa	1.0000	0.5052	1.0000	0.2000
abkhazadyge_abk_002	Abkhaz	Abkhaz-Adyge	zipa_large	1.0000	0.5052	1.0000	0.2000
abkhazadyge_abk_003	Abkhaz	Abkhaz-Adyge	allophant	0.8333	0.2118	0.6667	0.0655
abkhazadyge_abk_003	Abkhaz	Abkhaz-Adyge	allosaurus	1.0000	0.3646	1.0000	0.3065
abkhazadyge_abk_003	Abkhaz	Abkhaz-Adyge	multipa	0.8333	0.2083	1.0000	0.1845
abkhazadyge_abk_003	Abkhaz	Abkhaz-Adyge	powsm	1.0000	0.3403	1.0000	0.2976
abkhazadyge_abk_003	Abkhaz	Abkhaz-Adyge	wav2vec2phoneme	0.5000	0.1979	0.3333	0.0238
abkhazadyge_abk_003	Abkhaz	Abkhaz-Adyge	whipa	0.8333	0.3542	1.1667	0.2976
abkhazadyge_abk_003	Abkhaz	Abkhaz-Adyge	whipa_comb	0.8333	0.3646	1.1667	0.3065
abkhazadyge_abk_003	Abkhaz	Abkhaz-Adyge	zipa	0.8333	0.3368	0.8333	0.1429
abkhazadyge_abk_003	Abkhaz	Abkhaz-Adyge	zipa_large	1.0000	0.3576	1.0000	0.1607
abkhazadyge_abk_004	Abkhaz	Abkhaz-Adyge	allophant	0.8000	0.2292	0.2000	0.0139
abkhazadyge_abk_004	Abkhaz	Abkhaz-Adyge	allosaurus	1.2000	0.4375	1.2000	0.3056
abkhazadyge_abk_004	Abkhaz	Abkhaz-Adyge	multipa	0.8000	0.2000	0.8000	0.1597
abkhazadyge_abk_004	Abkhaz	Abkhaz-Adyge	powsm	0.8000	0.2125	0.4000	0.3264
abkhazadyge_abk_004	Abkhaz	Abkhaz-Adyge	wav2vec2phoneme	1.2000	0.5833	1.0000	0.4340
abkhazadyge_abk_004	Abkhaz	Abkhaz-Adyge	whipa	1.0000	0.2333	1.2000	0.1875
abkhazadyge_abk_004	Abkhaz	Abkhaz-Adyge	whipa_comb	1.0000	0.4042	1.0000	0.3229
abkhazadyge_abk_004	Abkhaz	Abkhaz-Adyge	zipa	1.0000	0.2375	0.8000	0.0208
abkhazadyge_abk_004	Abkhaz	Abkhaz-Adyge	zipa_large	1.2000	0.4208	1.0000	0.1736
abkhazadyge_abk_005	Abkhaz	Abkhaz-Adyge	allophant	0.7143	0.0982	0.4286	0.1302
abkhazadyge_abk_005	Abkhaz	Abkhaz-Adyge	allosaurus	1.4286	0.6012	1.2857	0.4089
abkhazadyge_abk_005	Abkhaz	Abkhaz-Adyge	multipa	0.8571	0.1815	0.7143	0.0260
abkhazadyge_abk_005	Abkhaz	Abkhaz-Adyge	powsm	0.8571	0.3065	0.8571	0.1458
abkhazadyge_abk_005	Abkhaz	Abkhaz-Adyge	wav2vec2phoneme	0.8571	0.1637	0.5714	0.0104
abkhazadyge_abk_005	Abkhaz	Abkhaz-Adyge	whipa	1.2857	0.4256	1.1429	0.2500
abkhazadyge_abk_005	Abkhaz	Abkhaz-Adyge	whipa_comb	1.1429	0.3363	0.8571	0.2188
abkhazadyge_abk_005	Abkhaz	Abkhaz-Adyge	zipa	1.0000	0.1696	0.7143	0.0156
