filename	language	family	reference_ipa
abkhazadyge_abk_001.wav	Abkhaz	Abkhaz-Adyge	a d͡ʒ ʃʲ
abkhazadyge_abk_002.wav	Abkhaz	Abkhaz-Adyge	a d͡ʒ m ɜ
abkhazadyge_abk_003.wav	Abkhaz	Abkhaz-Adyge	a d͡ʒ ɘ m ʃ ɘ
abkhazadyge_abk_004.wav	Abkhaz	Abkhaz-Adyge	a t͡ʃʰ ɜ r ä
abkhazadyge_abk_005.wav	Abkhaz	Abkhaz-Adyge	a t͡ʃ ə̆ pʰ ɜ̆ r ʌ̈
abkhazadyge_abk_006.wav	Abkhaz	Abkhaz-Adyge	a t t͡ʃ ʃʰ ɜ r ɜ
abkhazadyge_abk_007.wav	Abkhaz	Abkhaz-Adyge	a kʼ a ʒʲ ə r ɜ
abkhazadyge_abk_008.wav	Abkhaz	Abkhaz-Adyge	ă b ʒʲ ɨ
abkhazadyge_abk_009.wav	Abkhaz	Abkhaz-Adyge	a ʃ æ̈
abkhazadyge_abk_010.wav	Abkhaz	Abkhaz-Adyge	a j ə ʃʲ ɛ̈
abkhazadyge_abk_011.wav	Abkhaz	Abkhaz-Adyge	a ʃ æ̈
abkhazadyge_abk_012.wav	Abkhaz	Abkhaz-Adyge	a ʃ ɘ p ɘ
abkhazadyge_abk_013.wav	Abkhaz	Abkhaz-Adyge	a d͡ʒ ɘ r
abkhazadyge_abk_014.wav	Abkhaz	Abkhaz-Adyge	a d͡ʒ ɘ ʃ
abkhazadyge_abk_015.wav	Abkhaz	Abkhaz-Adyge	a d͡ʒ
abkhazadyge_abk_016.wav	Abkhaz	Abkhaz-Adyge	a t͡ʃ ə d æ̈
abkhazadyge_abk_017.wav	Abkhaz	Abkhaz-Adyge	a t͡ʃʰ n ɘ
abkhazadyge_abk_018.wav	Abkhaz	Abkhaz-Adyge	a t͡ʃʰ ɘ ɥ r ɜ
abkhazadyge_abk_019.wav	Abkhaz	Abkhaz-Adyge	d ɜ t͡ʃ ä
abkhazadyge_abk_020.wav	Abkhaz	Abkhaz-Adyge	a t͡ʃʰ b ɘ ɡ ə
abkhazadyge_abk_021.wav	Abkhaz	Abkhaz-Adyge	a p t͡ʃ r a
abkhazadyge_abk_022.wav	Abkhaz	Abkhaz-Adyge	a t͡ʃʼ ɘ
abkhazadyge_abk_023.wav	Abkhaz	Abkhaz-Adyge	a t͡ʃʼ ɘ χ ɘ r ɜ
abkhazadyge_abk_024.wav	Abkhaz	Abkhaz-Adyge	a m t͡ʃʼ ɘ
abkhazadyge_abk_025.wav	Abkhaz	Abkhaz-Adyge	a t͡ʃʼ a
abkhazadyge_abk_026.wav	Abkhaz	Abkhaz-Adyge	ˀa ʒ ə ħʷ ə r ə
abkhazadyge_abk_027.wav	Abkhaz	Abkhaz-Adyge	ä ʒ ɹ ə
abkhazadyge_abk_028.wav	Abkhaz	Abkhaz-Adyge	ä ʒ ə ħ œ̈ ɾ ə
abkhazadyge_abk_029.wav	Abkhaz	Abkhaz-Adyge	ˀa ʒ ə
abkhazadyge_abk_030.wav	Abkhaz	Abkhaz-Adyge	a b ʒ ə
abkhazadyge_abk_031.wav	Abkhaz	Abkhaz-Adyge	a ʃ ə ɾ ɜ
abkhazadyge_abk_032.wav	Abkhaz	Abkhaz-Adyge	a ʃ ə
abkhazadyge_abk_033.wav	Abkhaz	Abkhaz-Adyge	a d͡ʒ ɘ ʃ
abkhazadyge_abk_034.wav	Abkhaz	Abkhaz-Adyge	ä ʁ d ə r ɜ
abkhazadyge_abk_035.wav	Abkhaz	Abkhaz-Adyge	ˀa χ ɤ̈
abkhazadyge_abk_036.wav	Abkhaz	Abkhaz-Adyge	χ pʰ æ̈
abkhazadyge_abk_037.wav	Abkhaz	Abkhaz-Adyge	ä χ r ɛ̈
abkhazadyge_abk_038.wav	Abkhaz	Abkhaz-Adyge	a χ r d z ɛ̈
abkhazadyge_abk_039.wav	Abkhaz	Abkhaz-Adyge	a i χ æ̈
abkhazadyge_abk_040.wav	Abkhaz	Abkhaz-Adyge	ä χ r ɛ̈
abkhazadyge_abk_041.wav	Abkhaz	Abkhaz-Adyge	a χ r d z ɛ̈
abkhazadyge_abk_042.wav	Abkhaz	Abkhaz-Adyge	a i χ æ̈
abkhazadyge_abk_043.wav	Abkhaz	Abkhaz-Adyge	a m ʒ ɤ̈
