model	family	n	mean_PER	mean_PFER
allophant	Abkhaz-Adyge	172	0.9608	0.3355
allophant	Afro-Asiatic	531	0.7175	0.1777
allophant	Athabaskan-Eyak-Tlingit	62	0.8174	0.2193
allophant	Atlantic-Congo	922	0.7012	0.2008
allophant	Austroasiatic	115	0.7239	0.2480
allophant	Austronesian	417	0.6321	0.1844
allophant	Central Sudanic	23	0.9783	0.2862
allophant	Dravidian	138	0.7602	0.2236
allophant	Ijoid	82	0.6565	0.2134
allophant	Indo-European	1645	0.6822	0.1855
allophant	Kakua-Nukak	63	0.8323	0.3170
allophant	Kru	99	0.7357	0.1916
allophant	Mande	69	0.7065	0.2016
allophant	Nakh-Daghestanian	114	0.7636	0.2639
allophant	Nuclear Torricelli	70	0.7337	0.1842
allophant	Salishan	46	0.8657	0.3644
allophant	Sino-Tibetan	476	0.7373	0.2296
allophant	Siouan	42	0.7020	0.2016
allophant	Turkic	56	0.5879	0.1371
allophant	Unknown	46	0.5798	0.0951
allophant	Uralic	228	0.7021	0.2289
allosaurus	Abkhaz-Adyge	172	1.1121	0.4592
allosaurus	Afro-Asiatic	531	0.8921	0.2840
allosaurus	Athabaskan-Eyak-Tlingit	62	0.8910	0.2882
allosaurus	Atlantic-Congo	922	0.9619	0.3937
allosaurus	Austroasiatic	115	0.9215	0.3014
allosaurus	Austronesian	417	0.8206	0.2753
allosaurus	Central Sudanic	23	1.1739	0.3927
allosaurus	Dravidian	138	0.9982	0.3338
allosaurus	Ijoid	82	0.9154	0.3078
allosaurus	Indo-European	1645	0.8905	0.2995
allosaurus	Kakua-Nukak	63	0.9338	0.3244
allosaurus	Kru	99	0.9454	0.3689
allosaurus	Mande	69	0.9286	0.3428
allosaurus	Nakh-Daghestanian	114	0.9394	0.3253
allosaurus	Nuclear Torricelli	70	0.9063	0.3356
allosaurus	Salishan	46	0.9645	0.3804
allosaurus	Sino-Tibetan	476	0.8988	0.3003
allosaurus	Siouan	42	0.9018	0.3529
allosaurus	Turkic	56	0.9605	0.3683
allosaurus	Unknown	46	0.7038	0.2441
allosaurus	Uralic	228	0.9743	0.3798
multipa	Abkhaz-Adyge	172	0.8942	0.3089
multipa	Afro-Asiatic	531	0.5899	0.1229
multipa	Athabaskan-Eyak-Tlingit	62	0.7350	0.1747
multipa	Atlantic-Congo	922	0.5284	0.1352
multipa	Austroasiatic	115	0.8233	0.2448
multipa	Austronesian	417	0.5324	0.1265
multipa	Central Sudanic	23	0.7174	0.1467
multipa	Dravidian	138	0.5203	0.1144
multipa	Ijoid	82	0.4944	0.0971
multipa	Indo-European	1645	0.6384	0.1331
multipa	Kakua-Nukak	63	0.7585	0.2483
multipa	Kru	99	0.6819	0.1960
multipa	Mande	69	0.6442	0.2223
multipa	Nakh-Daghestanian	114	0.7268	0.1854
multipa	Nuclear Torricelli	70	0.6527	0.1417
multipa	Salishan	46	0.8247	0.3063
multipa	Sino-Tibetan	476	0.7481	0.1901
multipa	Siouan	42	0.6006	0.1645
multipa	Turkic	56	0.7293	0.1279
multipa	Unknown	46	0.3779	0.0663
multipa	Uralic	228	0.5114	0.1331
powsm	Abkhaz-Adyge	172	0.9176	0.3791
powsm	Afro-Asiatic	531	0.5521	0.1258
powsm	Athabaskan-Eyak-Tlingit	62	0.7148	0.1865
powsm	Atlantic-Congo	922	0.4731	0.1517
powsm	Austroasiatic	115	0.6530	0.1908
powsm	Austronesian	417	0.3867	0.1194
powsm	Central Sudanic	23	0.6739	0.1626
powsm	Dravidian	138	0.5716	0.1384
powsm	Ijoid	82	0.4918	0.1367
powsm	Indo-European	1645	0.5438	0.1211
powsm	Kakua-Nukak	63	0.6806	0.2370
powsm	Kru	99	0.6066	0.2826
powsm	Mande	69	0.5840	0.2292
powsm	Nakh-Daghestanian	114	0.6353	0.1968
powsm	Nuclear Torricelli	70	0.5271	0.1061
powsm	Salishan	46	1.1514	0.6132
powsm	Sino-Tibetan	476	0.7030	0.2529
powsm	Siouan	42	0.4278	0.1446
powsm	Turkic	56	0.6583	0.1086
powsm	Unknown	46	0.2886	0.0366
powsm	Uralic	228	0.4463	0.1320
