model	family	n	mean_PER	mean_PFER
allophant	Afro-Asiatic	20	0.7175	0.2540
allophant	Atlantic-Congo	20	0.7050	0.2422
allophant	Austronesian	20	0.5792	0.1754
allophant	Dravidian	20	0.6825	0.2168
allophant	Indo-European	20	0.7417	0.1575
allophant	Nakh-Daghestanian	20	0.8119	0.3116
allophant	Sino-Tibetan	20	0.7700	0.2227
allophant	Uralic	20	0.6458	0.1555
allosaurus	Afro-Asiatic	20	0.9767	0.3482
allosaurus	Atlantic-Congo	20	0.9917	0.3769
allosaurus	Austronesian	20	0.7861	0.2061
allosaurus	Dravidian	20	0.9717	0.3162
allosaurus	Indo-European	20	0.9125	0.2454
allosaurus	Nakh-Daghestanian	20	0.9661	0.3512
allosaurus	Sino-Tibetan	20	0.7650	0.2273
allosaurus	Uralic	20	0.9950	0.3855
multipa	Afro-Asiatic	20	0.5300	0.1707
multipa	Atlantic-Congo	20	0.4867	0.0791
multipa	Austronesian	20	0.5354	0.1220
multipa	Dravidian	20	0.5058	0.1240
multipa	Indo-European	20	0.8750	0.1495
multipa	Nakh-Daghestanian	20	0.7437	0.2319
multipa	Sino-Tibetan	20	0.6783	0.1743
multipa	Uralic	20	0.3967	0.0992
powsm	Afro-Asiatic	20	0.5567	0.1501
powsm	Atlantic-Congo	20	0.4483	0.1485
powsm	Austronesian	20	0.4320	0.1161
powsm	Dravidian	20	0.4767	0.1072
powsm	Indo-European	20	0.8000	0.1858
powsm	Nakh-Daghestanian	20	0.6756	0.1938
powsm	Sino-Tibetan	20	0.4542	0.1070
powsm	Uralic	20	0.2883	0.0956
wav2vec2phoneme	Afro-Asiatic	20	0.5150	0.1625
wav2vec2phoneme	Atlantic-Congo	20	0.3392	0.1318
wav2vec2phoneme	Austronesian	20	0.3594	0.1144
wav2vec2phoneme	Dravidian	20	0.5000	0.1445
wav2vec2phoneme	Indo-European	20	0.7125	0.1912
wav2vec2phoneme	Nakh-Daghestanian	20	0.6240	0.2171
wav2vec2phoneme	Sino-Tibetan	20	0.7242	0.2043
wav2vec2phoneme	Uralic	20	0.4633	0.2163
whipa	Afro-Asiatic	20	0.6625	0.2112
whipa	Atlantic-Congo	20	0.8400	0.2015
whipa	Austronesian	20	0.5100	0.1312
whipa	Dravidian	20	0.6867	0.1733
whipa	Indo-European	20	0.9375	0.2398
whipa	Nakh-Daghestanian	20	0.9319	0.3254
whipa	Sino-Tibetan	20	0.8283	0.2115
whipa	Uralic	20	1.3017	0.7196
whipa_comb	Afro-Asiatic	20	0.7075	0.2144
whipa_comb	Atlantic-Congo	20	0.7675	0.1553
whipa_comb	Austronesian	20	0.6794	0.2011
whipa_comb	Dravidian	20	0.7550	0.2187
whipa_comb	Indo-European	20	1.0125	0.2535
whipa_comb	Nakh-Daghestanian	20	1.0099	0.3370
whipa_comb	Sino-Tibetan	20	0.8383	0.1888
whipa_comb	Uralic	20	0.8800	0.2325
zipa	Afro-Asiatic	20	0.5917	0.1529
zipa	Atlantic-Congo	20	0.4992	0.1884
zipa	Austronesian	20	0.5512	0.1326
zipa	Dravidian	20	0.6850	0.1338
zipa	Indo-European	20	0.9958	0.0982
zipa	Nakh-Daghestanian	20	0.7815	0.2364
zipa	Sino-Tibetan	20	0.7767	0.2893
zipa	Uralic	20	0.5367	0.1251
zipa_large	Afro-Asiatic	20	0.6000	0.1462
zipa_large	Atlantic-Congo	20	0.5067	0.1989
zipa_large	Austronesian	20	0.5399	0.1109
zipa_large	Dravidian	20	0.7975	0.1850
zipa_large	Indo-European	20	0.8625	0.0933
zipa_large	Nakh-Daghestanian	20	0.8369	0.3081
zipa_large	Sino-Tibetan	20	0.7850	0.2503
zipa_large	Uralic	20	0.5450	0.1024
